MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
GENERAL MOTORS DO BRASIL LTDA;ONIX LT2 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT2 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT1 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT2 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT2 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT2 1.0 MT;6000;São Paulo;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 STYLE FLEX 5-P (1PPAA5D4I5GC2PB4);6000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 STYLE FLEX 5-P (1PPAA5D4I5GC2PB5);6000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 STYLE FLEX 5-P (1PPAA5D4I5GC9RB4);6000;Minas Gerais;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.0 STYLE FLEX 5-P (1PPAA5D4I5GC9SB5);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 DRIVE FLEX Aut. 5-P (358AFJ1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 DRIVE FLEX Aut. 5-P (358AFX1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 DRIVE S-DESIGN FLEX Aut. 5-P (358A4H0);5000;Minas Gerais;Brasil;1.3
